date,3D_printing,autonomous_cars,cloud_computing,drones,electric_cars,smartphones,solar_tech
1996-05-01,0,1.2393416617093e-5,0,4.6917934336137787e-4,3.5232712954307244e-4,2.3016345146029857e-5,2.60261748958953e-4
1996-06-01,0,2.0700427181542745e-5,1.881857016503886e-6,3.6319840418525e-4,2.8604226650859066e-4,3.199156928056606e-5,3.293249778881801e-4
1996-07-01,0,2.758757676243234e-5,0,3.6231684147994476e-4,3.4208595185416103e-4,2.2070061409945875e-5,3.5496015434329615e-4
1996-08-01,0,3.7965964416851826e-5,3.615806134938269e-6,3.9954657791067876e-4,3.977386748432096e-4,4.158177055179009e-5,2.8384078159265414e-4
1996-09-01,0,1.0983579548574881e-5,0,3.24015596682959e-4,2.892342614458052e-4,2.74589488714372e-5,2.507917330257931e-4
1996-10-01,0,2.2170906994750612e-5,0,2.796945190107e-4,2.9504360846860426e-4,1.8759998226327442e-5,3.155090610791433e-4
1996-11-01,0,1.9499777525265506e-5,0,2.55269814876203e-4,4.059499139350728e-4,6.0272039623547934e-5,2.534971078284516e-4
1996-12-01,0,4.082723399201271e-5,0,2.3754027049898303e-4,5.919948928841843e-4,2.7836750449099573e-5,3.099158216666419e-4
1997-01-01,0,2.2658386478869313e-5,3.48590561213374e-6,2.6667177932823113e-4,3.834496173347114e-4,3.8344961733471145e-5,2.5447110968576306e-4
1997-02-01,1.8365506640048926e-6,1.8365506640048926e-5,0,2.8282880225675343e-4,2.2589573167260178e-4,2.020205730405382e-5,5.803500098255461e-4
1997-03-01,0,2.2655701307233964e-5,0,3.123250251640111e-4,3.3174419771306876e-4,2.2655701307233964e-5,2.848145307195127e-4
1997-04-01,0,3.3331555650365315e-5,0,3.0831688976587913e-4,2.966508452882513e-4,1.1666044477627859e-5,2.483200895952216e-4
1997-05-01,0,2.2737312579580593e-5,0,2.3874178208559623e-4,5.927942208247798e-4,1.2992750045474626e-5,3.800379388301328e-4
1997-06-01,0,2.558417192563534e-5,0,3.6329524134402183e-4,3.5135596111205867e-4,1.7056114617090227e-6,9.380863039399625e-4
1997-07-01,0,4.674142987227472e-5,0,3.704691108395107e-4,3.722002749088542e-4,1.558047662409157e-5,0.0015407360217157221
1997-08-01,0,3.189937258970859e-5,0,3.7607681368919603e-4,3.324250406717001e-4,2.0146972161921216e-5,0.0012037815866747926
1997-09-01,0,3.166397522877222e-5,1.6665250120406431e-6,4.1329820298607954e-4,4.0329905291383567e-4,9.165887566223537e-5,8.0326505580359e-4
1997-10-01,0,1.012843459752322e-4,0,3.5222765092879257e-4,7.286426083591331e-4,1.662877321981424e-5,0.0010279605263157894
1997-11-01,0,2.6821791285442236e-5,0,3.360612672823057e-4,3.8181608771041303e-4,2.9977296142553088e-5,7.462768987067163e-4
1997-12-01,0,2.5944669748677227e-5,3.2430837185846534e-6,2.724190323611109e-4,4.799763903505287e-4,2.7566211607969554e-5,4.134931741195433e-4
1998-01-01,0,3.168485665482805e-5,1.4402207570376388e-6,2.3907664566824802e-4,4.4934887619574326e-4,3.3125077411865694e-5,4.651913045231573e-4
1998-02-01,0,3.281319448380371e-5,0,2.729461177516399e-4,3.117253475961352e-4,3.132168564363081e-5,3.0128478571492495e-4
